Date Created,Number of Likes,Source of Tweet,Tweets
2021-10-31 23:58:26+00:00,2,Twitter Web App,It's Wuhan or Russia .... Guaranteed
2021-10-31 23:56:38+00:00,0,Twitter for iPhone,Real research like what Fauci funded in Wuhan that’s killing everybody or the great scientists doing experiments torturing beagle puppies by cutting their vocal chords so you can’t hear them screaming in pain as they are being tortured! O I really respect them!!!
2021-10-31 23:52:34+00:00,0,Twitter for iPhone,"Humans, not animals, likely took the COVID virus to Wuhan, contrary to China's claims https://t.co/1YCohZzk4g"
2021-10-31 23:48:56+00:00,3,Twitter for Android,.@SecDef .@CIA You can't tell me that the American Intelligence agencies can't find the source of the Covid virus. This virus was designed and engineered in the Wuhan lab in China. The only real question was dispersal an accident or intentional on China's part. @MinnesotaMiners
2021-10-31 23:42:36+00:00,208,Twitter for iPhone,"@HuaYong798 #savezhangzhan !
Please sign the petition Free citizen journalist Zhang Zhan who reported COVID-19 from Wuhan 
https://t.co/kFiZIQIeSS https://t.co/fdjLp5lbBA"
2021-10-31 23:42:33+00:00,0,Twitter for iPad,"@sandeturi @StepsPodcast @FreedomFromHel1 @MaryMort9 Wrong, they are not MANDATed 👩🏽‍⚕️.  Wuhan Vaccine is a killer🦠"
2021-10-31 23:36:22+00:00,4,Twitter for Android,"Maybe we should switch things up a bit. Put the news updates about the vaccine on hold and start asking...
🔹️What did the Wuhan lab release into the world? 
By they way, fully vaccinated Jen Psaki has COVID. 
Prayers up for our nation and globe! 
🌷💗🙏🌷 https://t.co/DphatJhRKn"
2021-10-31 23:33:29+00:00,3,Twitter for iPad,"@maulden_jerry @savageintellec2 @CurtisSliwa @GeorgeEliseo @SternFBSuperfan @Luv4RWB @CheShelby1 @geekSportsCS @dauschmo @connajean @Mwiley49751 @codylabs @jdontom I have  antibodies  &amp; a strong - willed immune system  
 Dr. Fauci lied under oath 🤥.. he told the Senate he did not fund research in Wuhan.  🗣 documents prove it!  Fauci lied  🤬
When will the left be held accountable. Lying cheating stealing Dems"
2021-10-31 23:33:10+00:00,1,Twitter for Android,@DiamondandSilk This was the most disturbing thing I have ever heard and the fact that so called Dr.Fauci had a part in that is not shocking considering what he did in Wuhan!
2021-10-31 23:32:41+00:00,1,Twitter for Android,@MarkLeeInSF @katierogers It would be so much easier to call it by its rightful name the Wuhan Virus
2021-10-31 23:30:11+00:00,8,TweetDeck,"Fully vaccinated with ""booster shot"" @PressSec a.ka. Raggedy Ann tests positive for the Wuhan Flu a.k.a. COVID-19 https://t.co/lcYW5mKmm4"
2021-10-31 23:27:18+00:00,19,Twitter Web App,"On one hand, absolute heresy that a mammal has taken out the top bird of the year spot. But on the other delighted that this bat has managed to overcome all that Wuhan based stigma. 
https://t.co/io45FCqXhs"
